datetime,station,PM2.5,O3,NO2,TEMP,RH,WS
2025-01-02 19:00:00,Zhongli,28.6,49.8,9.9,20.1,62.5,1.3
2025-01-02 20:00:00,Zhongli,22.5,48.3,17.4,13.3,81.8,2.8
2025-01-02 21:00:00,Zhongli,18.5,43.1,18.6,17.4,74.2,1.0
2025-01-02 22:00:00,Zhongli,25.5,34.7,16.8,15.0,81.0,2.2
2025-01-02 23:00:00,Zhongli,19.0,35.1,19.6,14.2,92.6,1.8
2025-01-03 00:00:00,Zhongli,22.1,32.0,16.4,11.8,78.5,1.0
2025-01-03 01:00:00,Zhongli,10.7,20.0,16.1,13.9,78.4,2.1
2025-01-03 02:00:00,Zhongli,14.4,19.2,26.7,13.6,92.1,2.2
2025-01-03 03:00:00,Zhongli,9.1,16.6,23.6,12.7,73.2,1.9
2025-01-03 04:00:00,Zhongli,25.9,18.4,25.4,14.8,83.0,1.1
2025-01-03 05:00:00,Zhongli,20.4,16.2,25.1,15.5,78.3,0.8
2025-01-03 06:00:00,Zhongli,23.3,17.4,28.3,15.1,75.1,1.6
2025-01-03 07:00:00,Zhongli,22.6,13.2,29.5,15.3,77.0,1.6
2025-01-03 08:00:00,Zhongli,21.7,23.6,24.4,16.1,67.8,0.7
2025-01-03 09:00:00,Zhongli,-2.0,23.4,19.7,19.1,65.4,1.7
2025-01-03 10:00:00,Zhongli,22.9,30.4,15.4,20.2,70.6,1.8
2025-01-03 11:00:00,Zhongli,23.4,33.6,15.5,18.8,68.3,1.3
2025-01-03 12:00:00,Zhongli,39.8,34.5,20.2,21.8,58.5,1.2
2025-01-03 13:00:00,Zhongli,39.3,37.9,15.3,19.8,59.9,1.8
2025-01-03 14:00:00,Zhongli,28.6,47.9,15.4,20.3,59.3,2.0
2025-01-03 15:00:00,Zhongli,33.0,47.4,14.0,19.8,52.1,1.3
2025-01-03 16:00:00,Zhongli,31.6,46.4,15.5,21.9,64.1,1.9
2025-01-03 17:00:00,Zhongli,29.5,47.6,13.3,19.3,61.4,1.3
2025-01-03 18:00:00,Zhongli,23.8,44.6,15.0,18.7,65.9,1.1
2025-01-03 19:00:00,Zhongli,29.7,52.1,16.2,19.0,78.3,1.8
2025-01-03 20:00:00,Zhongli,20.0,43.7,15.0,18.5,68.4,1.2
2025-01-03 21:00:00,Zhongli,19.2,48.1,17.0,15.3,76.8,1.7
2025-01-03 22:00:00,Zhongli,15.2,36.6,15.5,14.6,78.9,0.8
2025-01-03 23:00:00,Zhongli,21.7,32.2,19.3,15.1,85.3,0.7
2025-01-04 00:00:00,Zhongli,16.3,23.0,23.4,14.7,76.3,1.0
2025-01-04 01:00:00,Zhongli,17.0,23.5,17.1,12.8,80.6,1.7
2025-01-04 02:00:00,Zhongli,12.0,13.7,27.1,14.3,86.1,0.9
2025-01-04 03:00:00,Zhongli,16.4,13.0,28.8,12.6,79.9,1.7
2025-01-04 04:00:00,Zhongli,17.1,15.8,24.0,12.9,83.6,3.5
2025-01-04 05:00:00,Zhongli,21.4,7.8,24.9,13.6,74.4,1.3
2025-01-04 06:00:00,Zhongli,23.6,16.4,25.1,14.3,76.0,1.3
2025-01-04 07:00:00,Zhongli,23.6,18.8,25.1,16.6,66.5,2.9
2025-01-04 08:00:00,Zhongli,20.7,14.8,24.4,16.6,67.1,1.9
2025-01-04 09:00:00,Zhongli,32.8,23.8,23.8,19.1,59.6,1.5
2025-01-04 10:00:00,Zhongli,40.3,20.6,19.2,18.0,47.3,0.9
2025-01-04 11:00:00,Zhongli,27.8,40.3,20.0,18.3,62.5,3.4
2025-01-04 12:00:00,Zhongli,32.9,32.1,23.4,21.4,63.1,1.4
2025-01-04 13:00:00,Zhongli,32.7,46.4,13.3,20.9,56.2,1.0
2025-01-04 14:00:00,Zhongli,,46.0,20.4,21.5,52.9,1.0
2025-01-04 15:00:00,Zhongli,27.3,46.0,12.7,23.0,52.4,2.3
2025-01-04 16:00:00,Zhongli,34.0,50.7,15.6,21.4,55.2,1.7
2025-01-04 17:00:00,Zhongli,28.8,53.8,16.2,19.8,63.5,2.4
2025-01-04 18:00:00,Zhongli,33.0,47.3,15.8,19.8,63.6,2.5
2025-01-04 19:00:00,Zhongli,23.0,50.1,18.5,18.6,66.7,1.9
2025-01-04 20:00:00,Zhongli,34.2,39.0,17.7,18.1,72.9,2.9
2025-01-04 21:00:00,Zhongli,9.2,44.6,15.6,17.5,74.2,1.5
2025-01-04 22:00:00,Zhongli,17.9,43.8,16.3,15.2,63.1,1.8
2025-01-04 23:00:00,Zhongli,18.0,29.8,19.4,16.9,80.5,1.3
2025-01-05 00:00:00,Zhongli,9.0,26.4,25.2,13.2,83.4,2.2
2025-01-05 01:00:00,Zhongli,5.3,22.5,21.4,13.7,89.8,1.7
2025-01-05 02:00:00,Zhongli,23.6,18.1,21.1,12.2,80.2,1.7
2025-01-05 03:00:00,Zhongli,23.8,21.7,28.8,12.1,82.7,1.0
2025-01-05 04:00:00,Zhongli,21.9,9.7,28.6,14.1,85.3,1.5
2025-01-05 05:00:00,Zhongli,29.2,13.0,24.8,16.4,71.4,2.3
2025-01-05 06:00:00,Zhongli,27.4,14.3,29.5,13.4,85.4,1.5
2025-01-05 07:00:00,Zhongli,19.2,12.6,26.5,17.7,79.1,1.7
2025-01-05 08:00:00,Zhongli,13.6,16.3,27.0,16.6,63.8,1.4
2025-01-05 09:00:00,Zhongli,23.8,22.0,22.1,19.5,68.3,1.0
2025-01-05 10:00:00,Zhongli,37.0,26.7,18.0,18.3,66.6,0.3
2025-01-05 11:00:00,Zhongli,28.6,26.6,19.7,20.5,56.6,1.6
2025-01-05 12:00:00,Zhongli,36.7,38.6,25.1,22.2,53.9,1.4
2025-01-05 13:00:00,Zhongli,35.6,-9999.0,15.0,21.5,57.8,1.6
2025-01-05 14:00:00,Zhongli,34.2,41.0,16.6,22.8,50.4,1.3
2025-01-05 15:00:00,Zhongli,29.2,44.5,11.4,21.6,54.9,1.5
2025-01-05 16:00:00,Zhongli,24.3,47.7,14.9,19.2,57.7,1.8
2025-01-05 17:00:00,Zhongli,24.1,53.2,13.6,19.4,57.5,3.4
2025-01-05 18:00:00,Zhongli,36.4,47.2,13.7,19.5,76.3,2.1
2025-01-05 19:00:00,Zhongli,23.5,43.1,14.6,18.6,64.9,1.6
2025-01-05 20:00:00,Zhongli,25.1,44.6,15.5,17.3,76.3,1.9
2025-01-05 21:00:00,Zhongli,7.2,43.2,16.3,15.4,70.9,2.2
2025-01-05 22:00:00,Zhongli,21.0,42.6,19.3,15.4,81.8,1.0
2025-01-05 23:00:00,Zhongli,19.9,38.1,16.9,15.2,84.0,0.5
2025-01-06 00:00:00,Zhongli,12.9,26.5,16.8,12.4,93.1,2.5
2025-01-06 01:00:00,Zhongli,16.9,31.6,22.9,14.8,92.5,0.9
2025-01-06 02:00:00,Zhongli,7.4,23.2,22.5,12.7,83.7,1.2
2025-01-06 03:00:00,Zhongli,16.9,11.6,30.2,13.7,83.6,2.4
2025-01-06 04:00:00,Zhongli,25.2,16.3,23.0,13.9,81.3,1.8
2025-01-06 05:00:00,Zhongli,20.7,11.6,28.2,13.2,72.1,2.3
2025-01-06 06:00:00,Zhongli,19.8,25.0,24.8,13.9,75.9,1.6
2025-01-06 07:00:00,Zhongli,26.8,15.0,22.6,15.8,80.8,1.4
2025-01-06 08:00:00,Zhongli,27.6,17.3,25.2,16.9,73.3,1.7
2025-01-06 09:00:00,Zhongli,27.8,22.3,23.5,18.3,58.6,1.9
2025-01-06 10:00:00,Zhongli,27.8,24.5,28.0,17.9,64.0,1.6
2025-01-06 11:00:00,Zhongli,22.3,29.2,13.9,19.0,59.2,1.9
2025-01-06 12:00:00,Zhongli,34.3,30.2,17.1,20.8,60.4,1.2
2025-01-06 13:00:00,Zhongli,185.0,43.7,16.4,21.5,52.5,1.5
2025-01-06 14:00:00,Zhongli,39.2,44.9,11.8,19.6,54.3,1.8
2025-01-06 15:00:00,Zhongli,33.5,46.6,18.1,20.9,58.1,0.9
2025-01-06 16:00:00,Zhongli,27.4,46.4,9.8,21.4,66.4,1.8
2025-01-06 17:00:00,Zhongli,33.0,51.6,13.6,20.8,56.5,1.8
2025-01-06 18:00:00,Zhongli,32.1,55.4,7.9,19.4,64.9,2.0
2025-01-06 19:00:00,Zhongli,18.3,41.8,10.7,16.6,68.8,1.0
2025-01-06 20:00:00,Zhongli,20.7,46.7,20.9,15.6,63.4,1.8
2025-01-06 21:00:00,Zhongli,24.1,40.7,17.9,15.2,73.5,2.1
2025-01-06 22:00:00,Zhongli,19.1,34.9,22.8,12.7,76.5,2.6
2025-01-06 23:00:00,Zhongli,19.3,40.8,21.1,12.8,78.4,0.8
2025-01-07 00:00:00,Zhongli,20.7,27.4,19.3,14.8,79.8,0.5
2025-01-07 01:00:00,Zhongli,20.2,18.3,20.4,12.2,87.4,0.8
2025-01-07 02:00:00,Zhongli,12.2,19.9,33.3,14.7,79.0,0.9
2025-01-07 03:00:00,Zhongli,15.7,13.1,22.5,12.7,82.5,1.5
2025-01-07 04:00:00,Zhongli,25.1,13.0,27.5,13.6,81.3,1.5
2025-01-07 05:00:00,Zhongli,23.4,7.2,24.8,12.5,88.8,1.4
2025-01-07 06:00:00,Zhongli,35.2,13.8,31.7,14.9,83.3,0.6
2025-01-07 07:00:00,Zhongli,30.9,15.1,25.0,15.2,72.3,1.9
2025-01-07 08:00:00,Zhongli,29.5,19.5,26.5,15.9,70.0,1.1
2025-01-07 09:00:00,Zhongli,31.3,26.8,16.9,17.7,71.0,1.9
2025-01-07 10:00:00,Zhongli,23.1,25.8,15.9,18.3,65.7,1.0
2025-01-07 11:00:00,Zhongli,26.6,37.6,22.0,20.2,60.8,2.7
2025-01-07 12:00:00,Zhongli,33.0,25.8,19.0,19.3,70.0,0.4
2025-01-07 13:00:00,Zhongli,31.6,44.4,14.8,20.5,58.2,1.4
2025-01-07 14:00:00,Zhongli,29.6,44.1,18.5,20.4,64.0,1.4
2025-01-07 15:00:00,Zhongli,37.5,42.8,20.0,20.4,60.8,0.8
2025-01-07 16:00:00,Zhongli,29.2,45.0,17.2,19.9,58.1,1.1
2025-01-07 17:00:00,Zhongli,28.8,56.9,9.5,21.6,47.7,2.4
2025-01-07 18:00:00,Zhongli,33.2,44.7,15.0,17.4,56.0,0.7
2025-01-07 19:00:00,Zhongli,22.8,50.1,12.2,19.1,61.0,2.7
2025-01-07 20:00:00,Zhongli,15.5,42.8,14.9,17.0,66.0,2.3
2025-01-07 21:00:00,Zhongli,23.3,39.9,18.5,17.1,71.8,1.7
2025-01-07 22:00:00,Zhongli,25.0,31.7,22.6,13.6,72.6,1.3
2025-01-07 23:00:00,Zhongli,14.7,28.0,18.8,11.3,79.7,1.9
